Chromosome,Start,End,Width,Strand,Type,Bridge
chr4,34256715,34256814,100,*,other,yes
chr4,34265095,34265194,100,*,other,yes
chr4,34299674,34300211,538,*,other,yes
chr4,34311805,34311904,100,*,other,yes
chr4,42386164,42436163,50000,*,other,yes
chr4,60308514,60358513,50000,*,other,yes
chr4,60849612,61149611,300000,*,other,yes
chr4,61344177,61394176,50000,*,other,yes
chr4,89312217,89312316,100,*,other,yes
chr4,89316800,89346799,30000,*,contig,no
chr4,89352473,89352572,100,*,other,yes
chr4,89355736,89355835,100,*,other,yes
chr4,89365368,89365467,100,*,other,yes
chr4,99842111,99876234,34124,*,other,yes
chr4,121776152,121826151,50000,*,other,yes
chr4,122368014,122387380,19367,*,other,yes
chr4,130393226,130516309,123084,*,contig,no
chr4,130570701,130570822,122,*,other,yes
chr4,130577652,130577751,100,*,other,yes
chr4,130579475,130629474,50000,*,other,yes
chr4,142476161,142485762,9602,*,other,yes
chr4,142487112,142487471,360,*,other,yes
chr4,145899976,146049975,150000,*,other,yes
chr4,146293476,146425246,131771,*,other,yes
chr4,146433263,146433362,100,*,other,yes
chr4,146658413,146708412,50000,*,other,yes
chr4,146752334,146802333,50000,*,other,yes
chr4,146841696,146891695,50000,*,other,yes
chr4,156234525,156234624,100,*,other,yes
chr4,156236606,156236705,100,*,other,yes
chr4,156253478,156254298,821,*,other,yes
chr4,156256012,156306011,50000,*,other,yes
chr4,156308270,156308369,100,*,other,yes
chr4,156315160,156315259,100,*,other,yes
chr4,156319922,156320021,100,*,other,yes
chr4,156352085,156352214,130,*,other,yes
chr4,156358117,156408116,50000,*,contig,no
chr4,156408117,156508116,100000,*,telomere,no
chr5,1,100000,100000,*,telomere,no
chr5,100001,110000,10000,*,short_arm,no
chr5,110001,3000000,2890000,*,centromere,no
chr5,15062667,15457666,395000,*,contig,no
chr5,30289672,30339671,50000,*,contig,no
chr5,36630785,36660784,30000,*,other,yes
chr5,73980018,73980734,717,*,contig,no
chr5,76081855,76098854,17000,*,contig,no
chr5,76102901,76103000,100,*,other,yes
chr5,76106929,76107204,276,*,other,yes
chr5,94088336,94138335,50000,*,other,yes
chr5,113521975,113535974,14000,*,contig,no
chr5,124631620,124631719,100,*,other,yes
chr5,124647759,124709758,62000,*,contig,no
chr5,129794711,129844710,50000,*,contig,no
chr5,137162384,137162483,100,*,other,yes
chr5,137165019,137165118,100,*,other,yes
chr5,137166342,137166441,100,*,other,yes
chr5,137168621,137168720,100,*,other,yes
chr5,137177078,137177177,100,*,other,yes
chr5,137178380,137178479,100,*,other,yes
chr5,137180511,137184910,4400,*,other,yes
chr5,137192375,137192474,100,*,other,yes
chr5,137196134,137198596,2463,*,other,yes
chr5,137199647,137199935,289,*,other,yes
chr5,137211750,137211849,100,*,other,yes
chr5,137213062,137263061,50000,*,contig,no
chr5,138659927,138682926,23000,*,contig,no
chr5,138685042,138685672,631,*,other,yes
chr5,143821572,143871571,50000,*,contig,no
chr5,149298624,149312623,14000,*,contig,no
chr5,149318749,149318882,134,*,other,yes
chr5,149319626,149319725,100,*,other,yes
chr5,151734685,151834684,100000,*,telomere,no
chr6,1,100000,100000,*,telomere,no
chr6,100001,110000,10000,*,short_arm,no
chr6,110001,3000000,2890000,*,centromere,no
chr6,3000001,3050000,50000,*,clone,no
chr6,30752812,30802811,50000,*,contig,no
chr6,47687040,47737039,50000,*,other,yes
chr6,120679381,120679381,1,*,other,yes
chr6,120679476,120679476,1,*,other,yes
chr6,120679559,120679559,1,*,other,yes
chr6,139662912,139712911,50000,*,contig,no
chr6,146020008,146070007,50000,*,contig,no
chr6,149586547,149636546,50000,*,clone,no
chr6,149636547,149736546,100000,*,telomere,no
chr7,1,100000,100000,*,telomere,no
chr7,100001,110000,10000,*,short_arm,no
chr7,110001,3000000,2890000,*,centromere,no
chr7,3139263,3139420,158,*,other,yes
chr7,3169386,3169485,100,*,other,yes
chr7,3183105,3183204,100,*,other,yes
chr7,3186449,3186557,109,*,other,yes
chr7,3190676,3191478,803,*,other,yes
chr7,3192521,3192620,100,*,other,yes
chr7,3195093,3195239,147,*,other,yes
chr7,3196945,3197044,100,*,other,yes
chr7,3197607,3198393,787,*,other,yes
chr7,3224981,3225080,100,*,other,yes
chr7,3234798,3234897,100,*,other,yes
chr7,3252252,3255107,2856,*,other,yes
chr7,3255797,3260491,4695,*,other,yes
chr7,3271400,3271499,100,*,other,yes
chr7,3276611,3276710,100,*,other,yes
chr7,3288657,3288756,100,*,other,yes
chr7,3516148,3566147,50000,*,other,yes
chr7,9586555,9636554,50000,*,other,yes
chr7,21620001,21670000,50000,*,other,yes
chr7,38630336,38680335,50000,*,other,yes
chr7,39000772,39100771,100000,*,contig,no
chr7,46881072,46881091,20,*,other,yes
chr7,59807320,59857319,50000,*,other,yes
chr7,82249948,82251323,1376,*,contig,no
chr7,105973875,106028874,55000,*,other,yes
chr7,131043761,131043761,1,*,other,yes
chr7,139033260,139062259,29000,*,contig,no
chr7,141699084,141699183,100,*,other,yes
chr7,141701503,141701602,100,*,other,yes
chr7,141704612,141744611,40000,*,contig,no
chr7,145341460,145441459,100000,*,telomere,no
chr8,1,100000,100000,*,telomere,no
chr8,100001,110000,10000,*,short_arm,no
chr8,110001,3000000,2890000,*,centromere,no
chr8,19803129,19903128,100000,*,other,yes
chr8,20157551,20257550,100000,*,other,yes
chr8,20443136,20493135,50000,*,other,yes
chr8,20712179,20812178,100000,*,contig,no
chr8,33999464,34043444,43981,*,other,yes
chr8,39133091,39152790,19700,*,contig,no
chr8,39155165,39155264,100,*,other,yes
chr8,55123713,55345712,222000,*,other,yes
chr8,64799722,64803721,4000,*,contig,no
chr8,72592748,72642747,50000,*,contig,no
chr8,129301214,129401213,100000,*,telomere,no
chr9,1,100000,100000,*,telomere,no
chr9,100001,110000,10000,*,short_arm,no
chr9,110001,3000000,2890000,*,centromere,no
chr9,13245870,13246708,839,*,other,yes
chr9,13248025,13248124,100,*,other,yes
chr9,13265240,13265339,100,*,other,yes
chr9,13272056,13272155,100,*,other,yes
chr9,13275883,13276004,122,*,other,yes
chr9,13279287,13279386,100,*,other,yes
chr9,13287283,13287382,100,*,other,yes
chr9,13312567,13312666,100,*,other,yes
chr9,13324304,13414303,90000,*,contig,no
chr9,13416286,13416385,100,*,other,yes
chr9,53721310,53731609,10300,*,contig,no
chr9,53734316,53734603,288,*,other,yes
chr9,80408364,80434563,26200,*,other,yes
chr9,101085554,101092053,6500,*,contig,no
chr9,108862144,108912143,50000,*,contig,no
chr9,123869750,123870536,787,*,other,yes
chr9,123873111,123923110,50000,*,contig,no
chr9,124161430,124248836,87407,*,contig,no
chr9,124258045,124258144,100,*,other,yes
chr9,124268439,124268538,100,*,other,yes
chr9,124313033,124313132,100,*,other,yes
chr9,124330754,124335230,4477,*,other,yes
chr9,124336744,124338212,1469,*,other,yes
chr9,124347537,124347636,100,*,other,yes
chr9,124364695,124366991,2297,*,other,yes
chr9,124368217,124368316,100,*,other,yes
chr9,124370782,124370968,187,*,other,yes
chr9,124417275,124422465,5191,*,other,yes
chr9,124438652,124438751,100,*,other,yes
chr9,124441020,124441547,528,*,other,yes
chr9,124442912,124443011,100,*,other,yes
chr9,124476930,124477029,100,*,other,yes
chr9,124495111,124595110,100000,*,telomere,no
chr10,1,100000,100000,*,telomere,no
chr10,100001,110000,10000,*,short_arm,no
chr10,110001,3000000,2890000,*,centromere,no
chr10,3000001,3100000,100000,*,contig,no
chr10,3110548,3110647,100,*,other,yes
chr10,7501877,7576744,74868,*,contig,no
chr10,7580079,7580178,100,*,other,yes
chr10,7583761,7583860,100,*,other,yes
chr10,7585030,7585542,513,*,other,yes
chr10,57822087,57822268,182,*,other,yes
chr10,57843725,57843824,100,*,other,yes
chr10,57847671,57847952,282,*,other,yes
chr10,57862808,58205865,343058,*,contig,no
chr10,67371018,67371117,100,*,other,yes
chr10,67379225,67379324,100,*,other,yes
chr10,67387254,67387416,163,*,other,yes
chr10,67389080,67389179,100,*,other,yes
chr10,67390453,67391282,830,*,other,yes
chr10,67393794,67395259,1466,*,other,yes
chr10,67406178,67409403,3226,*,other,yes
chr10,67413527,67413626,100,*,other,yes
chr10,67415898,67416584,687,*,other,yes
chr10,67423333,67423432,100,*,other,yes
chr10,67429154,67429657,504,*,other,yes
chr10,67431523,67431622,100,*,other,yes
chr10,67432347,67432446,100,*,other,yes
chr10,67440688,67440787,100,*,other,yes
chr10,67441618,67441717,100,*,other,yes
chr10,67451490,67451639,150,*,other,yes
chr10,67456650,67456749,100,*,other,yes
chr10,75769565,75769566,2,*,other,yes
chr10,130594994,130694993,100000,*,telomere,no
chr11,1,100000,100000,*,telomere,no
chr11,100001,110000,10000,*,short_arm,no
chr11,110001,3000000,2890000,*,centromere,no
chr11,3000001,3100000,100000,*,contig,no
chr11,34543442,34543541,100,*,other,yes
chr11,34545123,34681620,136498,*,contig,no
chr11,121982544,122082543,100000,*,telomere,no
chr12,1,100000,100000,*,telomere,no
chr12,100001,110000,10000,*,short_arm,no
chr12,110001,3000000,2890000,*,centromere,no
chr12,28291448,28291448,1,*,other,yes
chr12,41567200,41573799,6600,*,contig,no
chr12,87655944,87755943,100000,*,other,yes
chr12,115138888,115138888,1,*,other,yes
chr12,120029023,120129022,100000,*,telomere,no
chr13,1,100000,100000,*,telomere,no
chr13,100001,110000,10000,*,short_arm,no
chr13,110001,3000000,2890000,*,centromere,no
chr13,11042830,11081074,38245,*,contig,no
chr13,39715068,39747567,32500,*,contig,no
chr13,54350518,54357517,7000,*,contig,no
chr13,91990171,91990471,301,*,other,yes
chr13,91996030,91996129,100,*,other,yes
chr13,91997747,92020046,22300,*,contig,no
chr13,119495506,119595505,100000,*,other,yes
chr13,120321640,120421639,100000,*,telomere,no
chr14,1,100000,100000,*,telomere,no
chr14,100001,110000,10000,*,short_arm,no
chr14,110001,3000000,2890000,*,centromere,no
chr14,19419705,19469704,50000,*,contig,no
chr14,24660943,24661042,100,*,other,yes
chr14,24662423,24664353,1931,*,other,yes
chr14,24665532,24715531,50000,*,other,yes
chr14,24718646,24718745,100,*,other,yes
chr14,26743771,26751770,8000,*,other,yes
chr14,41780866,41880865,100000,*,other,yes
chr14,42868020,42968019,100000,*,other,yes
chr14,43419945,43469944,50000,*,other,yes
chr14,63373909,63373909,1,*,other,yes
chr14,63373962,63373962,1,*,other,yes
chr14,63373966,63373966,1,*,other,yes
chr14,124802245,124902244,100000,*,telomere,no
chr15,1,100000,100000,*,telomere,no
chr15,100001,110000,10000,*,short_arm,no
chr15,110001,3000000,2890000,*,centromere,no
chr15,3000001,3050000,50000,*,clone,no
chr15,8997232,9000282,3051,*,other,yes
chr15,9005585,9006075,491,*,other,yes
chr15,9016364,9054778,38415,*,contig,no
chr15,38734238,38882450,148213,*,contig,no
chr15,103664544,103714543,50000,*,other,yes
chr15,103730512,103730611,100,*,other,yes
chr15,103738840,103738939,100,*,other,yes
chr15,103943686,104043685,100000,*,telomere,no
chr16,1,100000,100000,*,telomere,no
chr16,100001,110000,10000,*,short_arm,no
chr16,110001,3000000,2890000,*,centromere,no
chr16,3181575,3231574,50000,*,other,yes
chr16,18145422,18145424,3,*,other,yes
chr16,18145456,18145456,1,*,other,yes
chr16,18145460,18145460,1,*,other,yes
chr16,18496427,18496427,1,*,other,yes
chr16,18666488,18666488,1,*,other,yes
chr16,19170105,19170105,1,*,other,yes
chr16,19170233,19170233,1,*,other,yes
chr16,20619973,20619973,1,*,other,yes
chr16,65256589,65294588,38000,*,contig,no
chr16,98107769,98207768,100000,*,telomere,no
chr17,1,100000,100000,*,telomere,no
chr17,100001,110000,10000,*,short_arm,no
chr17,110001,3000000,2890000,*,centromere,no
chr17,3002921,3003020,100,*,other,yes
chr17,3006299,3006398,100,*,other,yes
chr17,3021140,3021239,100,*,other,yes
chr17,3023919,3024262,344,*,other,yes
chr17,3034195,3034737,543,*,other,yes
chr17,3036995,3037094,100,*,other,yes
chr17,3037966,3038065,100,*,other,yes
chr17,6199631,6199631,1,*,other,yes
chr17,7469635,7519634,50000,*,contig,no
chr17,9278692,9278692,1,*,other,yes
chr17,13255954,13305953,50000,*,other,yes
chr17,13591613,13654612,63000,*,contig,no
chr17,21599846,21599945,100,*,other,yes
chr17,21606182,21607044,863,*,other,yes
chr17,21609146,21609642,497,*,other,yes
chr17,21621152,21623684,2533,*,other,yes
chr17,21624586,21624685,100,*,other,yes
chr17,21692543,21692642,100,*,other,yes
chr17,48033226,48033325,100,*,other,yes
chr17,48036031,48036306,276,*,other,yes
chr17,48040359,48041286,928,*,other,yes
chr17,48042904,48043038,135,*,other,yes
chr17,48046604,48046703,100,*,other,yes
chr17,48054874,48055085,212,*,other,yes
chr17,48062684,48062783,100,*,other,yes
chr17,48076016,48078888,2873,*,other,yes
chr17,48100838,48100937,100,*,other,yes
chr17,48101931,48102203,273,*,other,yes
chr17,48109699,48109798,100,*,other,yes
chr17,48118528,48118627,100,*,other,yes
chr17,48120834,48120984,151,*,other,yes
chr17,48134308,48134853,546,*,other,yes
chr17,48136457,48139704,3248,*,other,yes
chr17,48179275,48179374,100,*,other,yes
chr17,48199898,48199997,100,*,other,yes
chr17,54705271,54706888,1618,*,other,yes
chr17,54711821,54711987,167,*,other,yes
chr17,94887272,94987271,100000,*,telomere,no
chr18,1,100000,100000,*,telomere,no
chr18,100001,110000,10000,*,short_arm,no
chr18,110001,3000000,2890000,*,centromere,no
chr18,11042349,11042349,1,*,other,yes
chr18,11651304,11651305,2,*,other,yes
chr18,13866664,13866664,1,*,other,yes
chr18,59777593,59777593,1,*,other,yes
chr18,76480410,76530409,50000,*,contig,no
chr18,77882880,77932879,50000,*,contig,no
chr18,82170980,82220979,50000,*,other,yes
chr18,90602640,90702639,100000,*,telomere,no
chr19,1,100000,100000,*,telomere,no
chr19,100001,110000,10000,*,short_arm,no
chr19,110001,3000000,2890000,*,centromere,no
chr19,6685769,6685868,100,*,other,yes
chr19,6688106,6813615,125510,*,contig,no
chr19,6829747,6829846,100,*,other,yes
chr19,61331567,61431566,100000,*,telomere,no
chrX,1,100000,100000,*,telomere,no
chrX,100001,110000,10000,*,short_arm,no
chrX,110001,3000000,2890000,*,centromere,no
chrX,3000001,3050000,50000,*,contig,no
chrX,3090122,3182394,92273,*,other,yes
chrX,3556356,3656355,100000,*,other,yes
chrX,3873993,3923992,50000,*,other,yes
chrX,4208658,4258657,50000,*,other,yes
chrX,4692211,4742210,50000,*,other,yes
chrX,4960182,5079056,118875,*,other,yes
chrX,6775702,6775801,100,*,other,yes
chrX,6778669,6778979,311,*,other,yes
chrX,6781969,6831968,50000,*,contig,no
chrX,6833606,6833705,100,*,other,yes
chrX,6835344,6835493,150,*,other,yes
chrX,6847100,6847199,100,*,other,yes
chrX,6851071,6851306,236,*,other,yes
chrX,24822951,24922950,100000,*,contig,no
chrX,25116510,25266509,150000,*,contig,no
chrX,27055756,27205755,150000,*,contig,no
chrX,27499671,27549670,50000,*,contig,no
chrX,28330239,28380238,50000,*,other,yes
chrX,29212945,29362944,150000,*,contig,no
chrX,30444570,30544569,100000,*,contig,no
chrX,31006871,31007861,991,*,other,yes
chrX,31010528,31010627,100,*,other,yes
chrX,31013339,31104765,91427,*,contig,no
chrX,31417072,31567071,150000,*,other,yes
chrX,31781865,31919956,138092,*,other,yes
chrX,32327544,32427543,100000,*,other,yes
chrX,32769625,32869624,100000,*,other,yes
chrX,33133987,33183986,50000,*,other,yes
chrX,34029362,34129361,100000,*,other,yes
chrX,34339520,34439519,100000,*,other,yes
chrX,34614487,34764486,150000,*,contig,no
chrX,37277032,37377031,100000,*,contig,no
chrX,37703335,37753334,50000,*,other,yes
chrX,37754742,37804741,50000,*,other,yes
chrX,37811925,37812593,669,*,other,yes
chrX,37813602,37813701,100,*,other,yes
chrX,53475668,53575667,100000,*,contig,no
chrX,54828055,54928054,100000,*,contig,no
chrX,55112717,55162716,50000,*,other,yes
chrX,56456316,56456316,1,*,other,yes
chrX,56462276,56462276,1,*,other,yes
chrX,56501495,56501495,1,*,other,yes
chrX,56515743,56515744,2,*,other,yes
chrX,56528501,56528501,1,*,other,yes
chrX,56528504,56528504,1,*,other,yes
chrX,56537107,56537107,1,*,other,yes
chrX,56567397,56567397,1,*,other,yes
chrX,56604259,56604259,1,*,other,yes
chrX,56644074,56644074,1,*,other,yes
chrX,60368992,60369091,100,*,other,yes
chrX,60398248,60398347,100,*,other,yes
chrX,60440859,60441087,229,*,other,yes
chrX,60442841,60445845,3005,*,other,yes
chrX,60447579,60447916,338,*,other,yes
chrX,60492575,60492674,100,*,other,yes
chrX,60499151,60499250,100,*,other,yes
chrX,60502257,60502356,100,*,other,yes
chrX,60504624,60505146,523,*,other,yes
chrX,60509007,60509106,100,*,other,yes
chrX,60510338,60516665,6328,*,other,yes
chrX,94917990,94967989,50000,*,other,yes
chrX,111115217,111116404,1188,*,other,yes
chrX,111129661,111129760,100,*,other,yes
chrX,111133871,111134386,516,*,other,yes
chrX,111137027,111137849,823,*,other,yes
chrX,111146006,111146105,100,*,other,yes
chrX,111162780,111162879,100,*,other,yes
chrX,111171311,111171410,100,*,other,yes
chrX,111197662,111198981,1320,*,other,yes
chrX,111201275,111201598,324,*,other,yes
chrX,111224569,111356298,131730,*,contig,no
chrX,111358377,111358494,118,*,other,yes
chrX,124672745,124822744,150000,*,contig,no
chrX,125018867,125068866,50000,*,other,yes
chrX,125141139,125291138,150000,*,other,yes
chrX,125446053,125546052,100000,*,other,yes
chrX,125779748,125829747,50000,*,contig,no
chrX,126695754,126745753,50000,*,other,yes
chrX,127771435,127771534,100,*,other,yes
chrX,127789545,127789685,141,*,other,yes
chrX,127794030,127794156,127,*,other,yes
chrX,127796424,127796523,100,*,other,yes
chrX,127798444,127798543,100,*,other,yes
chrX,127808499,127808598,100,*,other,yes
chrX,127834524,127834623,100,*,other,yes
chrX,127841390,127841489,100,*,other,yes
chrX,127847155,127847254,100,*,other,yes
chrX,127850730,127850829,100,*,other,yes
chrX,127875411,127875510,100,*,other,yes
chrX,127890226,127890325,100,*,other,yes
chrX,127916518,127916617,100,*,other,yes
chrX,127935204,127935488,285,*,other,yes
chrX,127944926,127945025,100,*,other,yes
chrX,127954930,127955029,100,*,other,yes
chrX,127957006,127957105,100,*,other,yes
chrX,127962216,127962489,274,*,other,yes
chrX,127978713,127978812,100,*,other,yes
chrX,140999529,141149528,150000,*,contig,no
chrX,170022644,170672643,650000,*,contig,no
chrX,170678055,170728054,50000,*,contig,no
chrX,170758512,170808511,50000,*,contig,no
chrX,170881300,170931299,50000,*,contig,no
chrX,170931300,171031299,100000,*,telomere,no
chrY,1,100000,100000,*,telomere,no
chrY,100001,110000,10000,*,short_arm,no
chrY,363558,663557,300000,*,contig,no
chrY,2939417,3289416,350000,*,contig,no
chrY,3429742,3729741,300000,*,other,yes
chrY,4469271,4529270,60000,*,contig,no
chrY,11858532,11918531,60000,*,contig,no
chrY,12659191,12667190,8000,*,contig,no
chrY,16539593,16599592,60000,*,contig,no
chrY,18128699,18189698,61000,*,contig,no
chrY,18777490,18848489,71000,*,contig,no
chrY,21706914,21756913,50000,*,other,yes
chrY,22220944,22394943,174000,*,contig,no
chrY,23409944,23459943,50000,*,other,yes
chrY,36527797,36627796,100000,*,other,yes
chrY,36962067,37062066,100000,*,other,yes
chrY,46063347,46163346,100000,*,other,yes
chrY,49166909,49216908,50000,*,other,yes
chrY,49351015,49401014,50000,*,other,yes
chrY,52129007,52192006,63000,*,contig,no
chrY,56576231,56716230,140000,*,contig,no
chrY,56891294,56941293,50000,*,other,yes
chrY,57934008,57983007,49000,*,other,yes
chrY,63557161,63623160,66000,*,contig,no
chrY,65001643,65031642,30000,*,contig,no
chrY,66012703,66019702,7000,*,other,yes
chrY,66188542,66288541,100000,*,other,yes
chrY,66452982,66502981,50000,*,other,yes
chrY,69457735,69538734,81000,*,contig,no
chrY,87340086,87370085,30000,*,contig,no
chrY,90844699,91644698,800000,*,contig,no
chrY,91644699,91744698,100000,*,telomere,no
