Chromosome,Start,End,Width,Strand,Type,Bridge
chr9,100001,110000,10000,*,short_arm,no
chr9,110001,3000000,2890000,*,centromere,no
chr9,123702696,123721195,18500,*,scaffold,yes
chr9,123961467,124011466,50000,*,contig,no
chr9,124020675,124020774,100,*,scaffold,yes
chr9,124031069,124031168,100,*,scaffold,yes
chr9,124075663,124075762,100,*,scaffold,yes
chr9,124093384,124097860,4477,*,scaffold,yes
chr9,124099374,124100842,1469,*,scaffold,yes
chr9,124110167,124110266,100,*,scaffold,yes
chr9,124259701,124359700,100000,*,telomere,no
chr10,1,100000,100000,*,telomere,no
chr10,100001,110000,10000,*,short_arm,no
chr10,110001,3000000,2890000,*,centromere,no
chr10,3000001,3050000,50000,*,contig,no
chr10,57750805,57975804,225000,*,scaffold,yes
chr10,130430863,130530862,100000,*,telomere,no
chr11,1,100000,100000,*,telomere,no
chr11,100001,110000,10000,*,short_arm,no
chr11,110001,3000000,2890000,*,centromere,no
chr11,3000001,3050000,50000,*,contig,no
chr11,34497582,34498581,1000,*,scaffold,yes
chr11,121873370,121973369,100000,*,telomere,no
chr12,1,100000,100000,*,telomere,no
chr12,100001,110000,10000,*,short_arm,no
chr12,110001,3000000,2890000,*,centromere,no
chr12,3000001,3050000,50000,*,contig,no
chr12,87702714,87722713,20000,*,scaffold,yes
chr12,119992758,120092757,100000,*,telomere,no
chr13,1,100000,100000,*,telomere,no
chr13,100001,110000,10000,*,short_arm,no
chr13,110001,3000000,2890000,*,centromere,no
chr13,3000001,3050000,50000,*,contig,no
chr13,12997382,13047381,50000,*,scaffold,yes
chr13,39899044,39901043,2000,*,scaffold,yes
chr13,119632042,120057041,425000,*,scaffold,yes
chr13,120783176,120883175,100000,*,telomere,no
chr14,1,100000,100000,*,telomere,no
chr14,100001,110000,10000,*,short_arm,no
chr14,110001,3000000,2890000,*,centromere,no
chr14,3000001,3050000,50000,*,contig,no
chr14,19469773,19519772,50000,*,contig,no
chr14,41502823,41702822,200000,*,scaffold,yes
chr14,42689977,42825476,135500,*,scaffold,yes
chr14,43277402,43707401,430000,*,scaffold,yes
chr14,125039657,125139656,100000,*,telomere,no
chr15,1,100000,100000,*,telomere,no
chr15,100001,110000,10000,*,short_arm,no
chr15,110001,3000000,2890000,*,centromere,no
chr15,3000001,3050000,50000,*,contig,no
chr15,103973952,104073951,100000,*,telomere,no
chr16,1,100000,100000,*,telomere,no
chr16,100001,110000,10000,*,short_arm,no
chr16,110001,3000000,2890000,*,centromere,no
chr16,3000001,3050000,50000,*,contig,no
chr16,65076952,65079951,3000,*,scaffold,yes
chr16,65082981,65085980,3000,*,scaffold,yes
chr16,65087384,65089383,2000,*,scaffold,yes
chr16,97908969,98008968,100000,*,telomere,no
chr17,1,100000,100000,*,telomere,no
chr17,100001,110000,10000,*,short_arm,no
chr17,110001,3000000,2890000,*,centromere,no
chr17,3000001,3050000,50000,*,contig,no
chr17,3052921,3053020,100,*,scaffold,yes
chr17,3056299,3056398,100,*,scaffold,yes
chr17,6464963,6630962,166000,*,scaffold,yes
chr17,13474841,13524840,50000,*,scaffold,yes
chr17,13811875,13874874,63000,*,contig,no
chr17,35681829,35731828,50000,*,scaffold,yes
chr17,95194700,95294699,100000,*,telomere,no
chr18,1,100000,100000,*,telomere,no
chr18,100001,110000,10000,*,short_arm,no
chr18,110001,3000000,2890000,*,centromere,no
chr18,82214195,82229194,15000,*,scaffold,yes
chr18,90620764,90720763,100000,*,telomere,no
chr19,1,100000,100000,*,telomere,no
chr19,100001,110000,10000,*,short_arm,no
chr19,110001,3000000,2890000,*,centromere,no
chr19,3000001,3050000,50000,*,contig,no
chr19,6739926,6789925,50000,*,contig,no
chr19,61320005,61420004,100000,*,telomere,no
chrX,1,100000,100000,*,telomere,no
chrX,100001,110000,10000,*,short_arm,no
chrX,110001,3000000,2890000,*,centromere,no
chrX,3000001,3050000,50000,*,contig,no
chrX,3087420,3137419,50000,*,scaffold,yes
chrX,3511381,3561380,50000,*,scaffold,yes
chrX,3779018,3829017,50000,*,scaffold,yes
chrX,4112000,4161999,50000,*,scaffold,yes
chrX,4595553,4645552,50000,*,scaffold,yes
chrX,4863524,4913523,50000,*,scaffold,yes
chrX,4949320,4999319,50000,*,scaffold,yes
chrX,24727813,24777812,50000,*,contig,no
chrX,24971372,25021371,50000,*,scaffold,yes
chrX,25171810,25221809,50000,*,contig,no
chrX,27041240,27091239,50000,*,contig,no
chrX,28110655,28160654,50000,*,scaffold,yes
chrX,29041850,29091849,50000,*,contig,no
chrX,30193689,30243688,50000,*,contig,no
chrX,30705702,30755701,50000,*,contig,no
chrX,31068008,31118007,50000,*,scaffold,yes
chrX,31430724,31480723,50000,*,scaffold,yes
chrX,31888311,31938310,50000,*,scaffold,yes
chrX,32295715,32345714,50000,*,scaffold,yes
chrX,32571450,32621449,50000,*,scaffold,yes
chrX,33497772,33547771,50000,*,scaffold,yes
chrX,33753173,33803172,50000,*,scaffold,yes
chrX,33978140,34028139,50000,*,contig,no
chrX,36540685,36558684,18000,*,scaffold,yes
chrX,53830022,53880021,50000,*,scaffold,yes
chrX,53923415,53973414,50000,*,contig,no
chrX,54158077,54208076,50000,*,scaffold,yes
chrX,93961596,94011595,50000,*,scaffold,yes
chrX,123582442,123632441,50000,*,contig,no
chrX,123829883,123879882,50000,*,scaffold,yes
chrX,124076005,124126004,50000,*,scaffold,yes
chrX,124198277,124248276,50000,*,scaffold,yes
chrX,124403676,124453675,50000,*,scaffold,yes
chrX,124687371,124737370,50000,*,contig,no
chrX,125603377,125653376,50000,*,scaffold,yes
chrX,168805640,168855639,50000,*,contig,no
chrX,168856708,168856812,105,*,scaffold,yes
chrX,168859029,168909028,50000,*,scaffold,yes
chrX,168910833,168960832,50000,*,scaffold,yes
chrX,168962273,169012272,50000,*,scaffold,yes
chrX,169013758,169013804,47,*,scaffold,yes
chrX,169015486,169015586,101,*,scaffold,yes
chrX,169016217,169066216,50000,*,scaffold,yes
chrX,169095689,169095715,27,*,scaffold,yes
chrX,169123348,169173347,50000,*,contig,no
chrX,169203805,169253804,50000,*,contig,no
chrX,169326593,169376592,50000,*,contig,no
chrX,169376593,169476592,100000,*,telomere,no
chrY,1,100000,100000,*,telomere,no
chrY,100001,110000,10000,*,short_arm,no
chrY,363558,663557,300000,*,contig,no
chrY,2939417,3289416,350000,*,contig,no
chrY,3429742,3729741,300000,*,scaffold,yes
chrY,4469271,4529270,60000,*,contig,no
chrY,11858532,11918531,60000,*,contig,no
chrY,12659191,12667190,8000,*,contig,no
chrY,16539593,16599592,60000,*,contig,no
chrY,18128699,18189698,61000,*,contig,no
chrY,18777490,18848489,71000,*,contig,no
chrY,22216424,22390423,174000,*,contig,no
chrY,36483142,36583141,100000,*,scaffold,yes
chrY,36917412,37017411,100000,*,scaffold,yes
chrY,49171518,49221517,50000,*,scaffold,yes
chrY,52125586,52188585,63000,*,contig,no
chrY,56572810,56712809,140000,*,contig,no
chrY,57942536,57991535,49000,*,scaffold,yes
chrY,63565689,63631688,66000,*,contig,no
chrY,65010171,65040170,30000,*,contig,no
chrY,66021231,66028230,7000,*,scaffold,yes
chrY,66249819,66299818,50000,*,scaffold,yes
chrY,66464259,66514258,50000,*,scaffold,yes
chrY,69469004,69550003,81000,*,contig,no
chrY,87351355,87381354,30000,*,contig,no
chrY,90855968,91355967,500000,*,contig,no
chrY,91355968,91455967,100000,*,telomere,no
